size,repeats,singles,heuristic,blocks,score,time,left,right
100, 2, 5, combine, 43,0.58,   0.001,"[1 1 0 1 0,0 1,1 1 0,0 0,0 1 0 0,0 1,4,1 0,1 0 0,6,1 1,0 1 1 0,0 1,1 1 1,0 1,1 0 1,0 0,1 0 0 1,1 0,0 1 1 1 1,1 0 0 0,0 0 0,2 1 0,1 1,1 1,0 0 1 0 1,0 1 1 1,0 0,1 0 1 1,0 1 0 1,1,0,1,0,1,0,1,0,3,0,5,0,1]","[0 1 0 1,0 1,5,0 0,1 1,1 1 0,1 1 1,0 1 0 0,1 1,1 1 0 1 0,4,0,1 0 0 0,3,6,1 0 1 1,0 1 1 0,1 1,0 1,0 0 0,0 1,0 0 1 0 1,1,1,1,1 0 0 1,0 0,0,1 0 1,1 0 0,0 0,2 1 0,0 1 1 1 1,0,0,0,1 0,0,0 1 1 1,1,1 0,1,0 1]"
100, 2, 5, combine, 35,0.66,   0.001,"[1 0,1 0 0,0 1,0 1 0 0,1 0 1 1,3 1 1,1 0 0,0 1 0 0 0,0 0 0 1,5,0 0,2,0 1,0 1 0,1 0 1,0 1 1 0,1 0 0 0 0,1 1,0 0 0,1 4,1 0 1,0 0,0 0 1 1,1 1 0 0 0 1,0 1 1 1 0,0 1 1,0 1 0 0 0,6 0,1 0,0,0 1 1,1 1,0,0,1 1]","[0 0 0 1,1 0 0,1 0,0 1 0 0 0,1 0 0,1 1,0 0,1 0 1,1 1,1 1,1 0,0 1 0 0 0,0 1,0 1,5,1 0 0 0 0,0 1 0,0 1 1 0,0,2,1 0 1,0 0 0,0 0 1 1,0 1 1,0 0,1 1 0 0 0 1,1 0 1 1,0 1 1,3 1 1,0 1 0 0,0,6 0,0,1 4,0 1 1 1 0]"
100, 2, 5, combine, 39,0.62,   0.001,"[0 6,0 0,1 0 1,1 0 1,1 0 1 0 1,0 1,0 0 0,1 1,0 1,1,5,3,0 1,0 1 1,1 1 0,0 1 1,1 1 1 1 0 1 1,4 1,1,2,1 0 0,1 1 0 0,0 1,1 1,0 1 0,0 0 0 0 1,1 1,0 0 0 1,1 1 1,0,0 1 0,0,0 1 1 1,1 1 0 1 1,1 1,0,1 1 1,1,1 0]","[0 1,1 0 1,0 0 0,1 0 1 0 1,1 0 1,0,4 1,0 1,2,1 1 1,0 1 1,0 1 1,0 6,1 1 0,1,0 1,0 0,1 1 0 0,1 0 0,1 1 1 1 0 1 1,1 1 1,0 1 0,0 1,0 1 0,1 1,1,3,1 0,1 1,0 1 1 1,0,1 1,1 1 0 1 1,0 0 0 0 1,0,5,1 1,1,0 0 0 1]"
100, 2, 5, combine, 43,0.58,   0.001,"[1 1 0,6,0 1 1 1 0 1,0 0,0 1 0 1,0 0 1,1 1 1,0 1 1,1 1,1 0,0 1,1 0 0,1 0,3 1,0 1 0,1 1,0 0,0 5,1 0 0,1 1,0 0,1 1 1,2,0 1 1,1 0 1,1 1 1 0,0 1 1 0,0 1 1 0,1 1,1 0 0,4,1 0,0 1,0,1 1,0,1 1 0 0,1,0,0,1,1,1]","[1 1 0,1,0 0,0 1 1 1 0 1,1 1 1,0 1 0 1,1,0 0 1,0,0 1 1 0,1 0 1,2,0 0,1 1,0 1 0,1 0 0,0 0,3 1,1,1 0,1,4,1 0 0,0 5,0 1 1 0,0,1 1 1 0,1 1,1 1,1 1 1,1 1 0 0,0 1 1,0 1 1,0,0 1,1 1,0 1,1 0,1 1,6,1 0,1 0 0,0]"
100, 2, 5, combine, 42,0.59,   0.001,"[0 0,0 0 0,0 0,0 0 1,1 1 1 0 1 0,0 1,1 0,0 1,1 1,2,1 1 0,1 1 1,1 1,0 1 0,0,6,1 1,1 0 1,1 0 0 1,1 1 1 1,0 1,1 0 0,0 0 0,0 0 0 0,0 1 0,1 1 1,1 0 1,0 1 1 0 1,1 1,0,1 1 1 0,0,1,0 0,0,1,0 0 0 0,3,5 0,0,4,0]","[1 1 1 0 1 0,1 1,0 0 1,0 1 0,1 0 1,0 0 0,1,3,0 1,0 0,1,0 0 0,0 1,0 0 0 0,1 0 0 1,2,0 0,1 1 0,0 0,1 0,1 1 1 0,0 1 0,1 1,6,0 0 0 0,1 0 0,1 1,4,1 1 1 1,1 1 1,0,5 0,0 1,1 0 1,1 1,1 1 1,0,0,0 1 1 0 1,0,0,0]"
100, 2, 5, combine, 40,0.61,   0.001,"[0 0,1 0 0 1,1 0 0 1 1 0,1,6 1,5,0 0 0,0 0 1 0 0 0 1,1 0,0 0,0 1,0 1 1,0 0,0 0 1 1,1 0,0 1,1 1,1 0 0 1,1 1,0 0 1,0 0 1 0,0 0,3,1 1 1 0 1,1 0,0 1,4,0 0,1 0 1,1 2,1 0 1,1 1 0,1 0 1 1 1,0,0 1,1,0,0,1 1,0]","[0,5,0 0,0 0 0,1,1 0 0 1,0 0 1 1,1 0 0 1 1 0,0 1,0 0 1,1 1,1 0,4,0 1 1,1 0,6 1,0 0 1 0 0 0 1,0 1,0 1,0 0,0,1 2,1 0 0 1,0 0 1 0,1 0 1,3,0,1 0 1,0 0,1 1 1 0 1,0 1,0 0,0,1 0,1 1 0,1 1,1,1 0 1 1 1,1 1,0 0]"
100, 2, 5, combine, 36,0.65,   0.001,"[0 1 1 0,0 1,1 1 1,0 0 1,0 1 0 1 1,2,0 1 0 0 0,0 1 0,0,6 0,0 0 0 0,1 0,0 1,0 0 0 1 1 0,1 0,0 1,1,3,1 0 0,1 1 0,1 1,0 1 0 1,1 0 0 0 1,0 0,0 1 1 1 1,0 1 1,0 1 1 0 0 1 1,4,0,5,1 1,1 1 0 0,1 0,0 0 1 1,1,0]","[0 1,2,0 1,6 0,1 0,1 1 1,1,0 0 1,1 1 0,0 1 0 0 0,5,0 1 0,1 0,0 1 0 1,0 0 0 0,3,0 1 1 0,1,0 1 0 1 1,0 0 0 1 1 0,0 0 1 1,1 0 0,0 1,0 0,0,0,1 0 0 0 1,1 1,0 1 1 1 1,1 1 0 0,0 1 1,1 1,0 1 1 0 0 1 1,0,4,1 0]"
100, 2, 5, combine, 38,0.63,   0.003,"[0 0 0,1 0 1 1,0 0 0,1 0,0 0,0 5,0 1 0 1,1 0,0 1 1 0,0 1,1,3 1,0 0,1 6 0 0,0 0,0,2 0 1,1 1,1 1 0,0 1 0,0 1,1 0 1,1 0 0 0,1 1,0 1 0 1 1,0 1,0 1 0 0,4,1 0 1 1,0 0 0 0 1,0 0 1 1,0 0 0 0,1,1 0 0,1 0,1,0,0]","[0,1 0 1 1,1,1 0,1 1,0 1 0 1,0 1 1 0,1 0 1,0 0 0,0 0 0,0 5,1,0 0,3 1,0 1,0 0 0 0 1,0 1 0,1 1 0,1,0 1 0 0,0 1,4,0 0,0 1,1 0 0 0,0 0 1 1,1 6 0 0,1 1,2 0 1,0 0,0 0 0 0,1 0 1 1,1 0 0,0,0 1 0 1 1,1 0,0,1 0]"
100, 2, 5, combine, 36,0.65,   0.001,"[1 1,1 1 0 1,5 1,1 0 0 1,1 0 1,1 1 1 0 1,0 1,0 1 1,0 1 0,1 0 1 1 0 1 0,0 0,1,6,1 1,0 0 1 0 0 0 1 0,3,1 0 1 0,0 1 1,0,4,1 0 1,1 0 1 0,2 0,0 0 1,1 1,0 1 0,0 0,1 1 0 0 0,1 1 0 1 0,0 1 1,1 0 0,0,1 0,0,1,1]","[4,0 0,2 0,3,1 1 0 1 0,1 0 0 1,0,1 0 1 0,1 1 1 0 1,6,0 1 1,1 0,0 1 1,1,0 1 0,0 1 0,1 1 0 1,1,0 0 1 0 0 0 1 0,1 1,1 0 1,0 1 1,1,1 0 1,5 1,0 0 1,1 0 0,1 0 1 0,1 1,1 1 0 0 0,0 1,1 0 1 1 0 1 0,1 1,0 0,0,0]"
100, 2, 5, combine, 43,0.58,   0.001,"[0 1,1 0 1,0 0,6 0 0,1 0 0 0,0 1,0 0 0,1 0,0 1 1,0 0 0,0 0 1,1 0 1,0 0 1,1 0 1,0 1,0 0,1 1 1 1,1 0 0 0,1 1,5,0 0,3,1 1,1 0,0 1,2,1 0 0 0 0,4,1 0 1 1,1 1 0,0 1 0,1 1 1,1 1,1 1 0,0 1 1,0,0,0,1 0,1,0,0,0]","[0 1,0 1,4,1 0 1,1 0 1,1 0 1 1,0 0 1,0 1 1,1,0 0 1,0 0 0,0 0 0,1 1 1 1,0 0,0,1 0 0 0,0,1 0 0 0,0 0,0 1 1,5,1 0,6 0 0,0,1 1 0,1 1,0 0,0,1 0 1,0 1 0,2,0,1 1,1 0 0 0 0,1 0,1 1 1,0 1,1 1 0,1 1,0,0 1,1 0,3]"
100, 2, 5, combine, 37,0.64,   0.001,"[1 0 0,5,1 1 1 0 1,1 0 0 1 0,0 1 1 1 0 0 0,2 0 1 1,1 1 0 1,6,0 1 1 0,1 0,1 0 1 0,0 4,0 0,0 1 0,1 1,0 0,0 1,3,1 0,1 1,0 1 0,1 0,1 1,1 0 0 1 0,1 0 0,1 0 0 0 0,0 0 0,0 0 0 0 1 0,0 0 1 0 0,0,0,1,0,0,0,0,0]","[0 0 1 0 0,1 0 0 1 0,1 0,6,1 1 1 0 1,0,0 1 1 1 0 0 0,0 0,1 1 0 1,0 1 0,0,1 0 0 0 0,2 0 1 1,0,0 4,1 1,1 1,1 0 1 0,5,0 0 0,0 1 1 0,0 1,1 0 0,0 1 0,0,1 0,3,0,1 0 0,1 1,0,1 0 0 1 0,0 0 0 0 1 0,1 0,1,0 0,0]"
100, 2, 5, combine, 41,0.60,   0.001,"[0 1 1 0,1 1 0,1 0,1 0,1 0 0,1 1,0 1 0,0 0,1 1 1,1 4,1 0 1,1 0 0 0,1 0,1 0 0,0 1 0 1 0,0 1,0 1,0 1 1,1 0 0,1 0 0 0 0,0 0,0 1,5,0 0 0,0 0 1 0,1 0 1 1,1 1 1 0,1 1,0 0,1 1,1,3,0 1 1 0 0,2 1,0,0,0,6,0,0,0]","[6,1,5,0 1 0,1 0 0,0 0,1 0 0 0 0,1 0,1 1 0,0 1 1 0 0,1 0 1,0,1 1 1 0,3,1 1 1,1 0 0,1 0,1 4,0 0 1 0,1 0 0 0,0,0 1 0 1 0,1 1,1 0,0 0 0,0 1,2 1,0 0,0 0,0 1 1,0 1 1 0,0 1,1 0 1 1,0,1 1,1 1,0,0 1,0,1 0 0,0]"
100, 2, 5, combine, 44,0.57,   0.001,"[1 0,0 1,5,0 1 0 0,0 0 0 0,0 0 1,0 0,1 0,0 0,1 0,0 0 0 1 0 0,0 0 1,0 0,0 0 1,0 0 0,4,1 1 0 1,0 1,0 0 1,3,1 1 1 1,0 1 1,2,1 1 1,1 1,0 0,1 1 1,1 1 1 0,0 1,1 0,0 1,1,1 0 0 0,0,1,0,1,1,0,1,6,0,1 0 0 0 1,1]","[1 0,2,1 1 0 1,1 1,0 1,1 1 1,0 0 1,1,1 0,1 0,1,0 0 0 0,1 0 0 0 1,6,1,0 1 0 0,0 0,0 0,4,0 0,5,1,0 1 1,1,0 0 1,1,0 0 1,1 1 1,0 0 1,0 0 0 1 0 0,0 0 0,0 1,0 0,0,0 1,0 1,3,0,1 0,1 1 1 0,1 0 0 0,1 1 1 1,0,0]"
100, 2, 5, combine, 43,0.58,   0.001,"[0 1,0 0,0 0 1,0 1 1,0 1,1,4,1 1 1,0 0 1 1,0 0 0 1,0 1,1 1 1 1,1 1,0 0 1,1 0,0 1 1 0 1,1 1,0 0 0,0 1,1 1 1 1,1 1 1 0 1,5,1 0 1,0 1 1 3,0 0 1,1 1,0 1 0,0,6,1 1,0 0,1 1 1,0 0,1 0,0,0 1 0,2,1,0,0 1,1,1,1]","[1 1 1 1,2,5,0 1 1,1 1 1 1,0 1,0 0 1 1,0 1,0 1 0,1 1,1 0 1,0 1,0 1 1 0 1,0 0 0 1,1 1,1 1 1,1 1 1 0 1,1 1 1,1 0,1,0 1 1 3,4,0 1 0,1 1,1 0,1,0 0 1,0 1,0 1,0 0 1,0 0 0,1,6,0,1,0 0 1,0,1,0 0,0 0,0 0,0,1 1]"
100, 2, 5, combine, 37,0.64,   0.001,"[1,2 0,0 0,1 1 0,1 0 0 1 0 0,0 0,6 1,3,0 0 0,1 1,1 0,1 1,1 0 0,1 0 0 0 0,0 0,0 1 0 0 0 0,0 1,5,1 0 1,0 0 0 1 0 0 1 1 0,1 0,0 0 0 0 0 0,0 1 0,0 1 0 0,1 1 1 1,0 1,0 1 0,4,1 0 0 0 0,1 1,0 0 1,1,0,1,0,1,0]","[0 0,0 0 0 0 0 0,1 0 0 1 0 0,1 0 0 0 0,1 0 0 0 0,1 0 1,0 1 0 0 0 0,4,0 0 0 1 0 0 1 1 0,0,1 1,3,1 0,1 0,1 1 0,0 1,1 1,0 1 0,1 1 1 1,6 1,0 1 0 0,5,0 1,1 1,0 0 0,0 0,0,2 0,1,1,0 1 0,0,1 0 0,1,1,0 0,0 0 1]"
100, 2, 5, combine, 39,0.62,   0.001,"[6,1 5,1 1 0,1 0 0,1 1,0 0 0,1 0 0 1 1 0 0,2,1 0 0,1 0 1,1 1,4,0 1,1 1 1 0,1 0,0 0 1 0,1 0,1 0 0 1 0 1 1,0 0 0 0,0 0,0 1,1 1 1 0 0,1 1 0,0 1,1 0,0 0,1 0 0 0,0 0,0 0,0 1 0,1 0,1 1,0 1,0 1,1,3,0 0 0,1,1]","[1 1 0,6,0 0 0,1 0 0,0 0,1 1,1 0 0 1 1 0 0,0 1,1 5,0 1,1 0 0,0 1,1 0 1,0 0,1 1,0 0 1 0,2,3,0 0,1 0,1 1 1 0 0,0 0 0 0,1,1 0 0 1 0 1 1,1,1 0,1 1 1 0,0 0,1 0,1 0 0 0,1 0,0 1 0,0 0 0,0 1,4,1 1 0,1 1,1,0 1]"
100, 2, 5, combine, 37,0.64,   0.001,"[0,3 1,0 1 0,1 1,4 0 0,1 0 1 1,0 0 1 1,0 1 0 1 1,1,2,1 0 0 0 0,0 0,0 0 1 1 1,0 0 0 0 1,1 0,0 1 1 0 1,1 1,0 1 0 0 0,0 1 1,0 0,6,1 0 0,5,1 0 1 1 0 1,1 1,0 1 0 1,0 1,0 1 1 1,0 1,0,1 1 1,1 0,0 0,1 0,0,1,1]","[1 1,1 1 1,3 1,1,0 1 0,0 0 1 1 1,1 1,1 0 0 0 0,0 1 1,0 1 0 1 1,1 1,1,1 0 1 1 0 1,0 0 1 1,0 0,0 0 0 0 1,0,0 1,0 1 0 0 0,1,0 1 1 1,4 0 0,2,0 1,0 0,1 0 0,0 0,0,0,1 0,1 0 1 1,1 0,6,0 1 1 0 1,1 0,5,0 1 0 1]"
100, 2, 5, combine, 38,0.63,   0.001,"[1,6 0,0 0,0 1 0 1,1 1,0 0,0 0 0 0,0 0 1 0,0 1 1 0 1 0 1,0 1 0,0 0 0 0 0 0,1 0,1 1,0 1 1,0 0 1,0 0 0,0 1,1 0,1 0,1 0 0,1 0 0 0,1 1 1,3,0 0 1,0 0,0 0,1 1 0 1,1 0,0 1 0,0,2 1,0,4,1 0 1,1 0 1 5 0,1 1,1,1]","[0 1 0 1,0 1 0,1 1 1,0 0 1 0,1 0,2 1,0 0 1,0 0 0 0,1 0 1,0 0,1 0,4,1 1 0 1,0 1 1,0 0 0 0 0 0,3,1 1,1 1,0 0 0,1,0 0,0 1,0 0 1,1 0 0 0,0,1 0 0,0 0,1 0 1 5 0,6 0,1,1 0,0 0,0,0 1 0,0 1 1 0 1 0 1,1 1,1 0,1]"
100, 2, 5, combine, 41,0.60,   0.001,"[1 1,1 0,2,1 0 0,1 1,1 0,1 1 0 1,0 0 0,1 0 0,4,0 1,5 0,0 1,0 0 0,1 1 1 1,1 1 1,0 0 1 0,0 1 1,0 0,1 0,3 0 0,0 1,1 1 0,1 1 0,0 0 0,1 0,0 0 0 0,0 1 0,1 0 0 1,0 1 0,1 1 1 1,0 1 1,0 0 1,1 1,0,1 0,0,1,0,0,6]","[4,1 1 0 1,1 0 0,5 0,1 0,1 0 0,1 1 0,1 1,0 1,0 0 0 0,0 1 1,1 0,1 1 1 1,0 0 0,0,1 1 1 1,0 0 1 0,1,0 0 0,2,0,0 1 0,1 0,0 1,3 0 0,1 1 0,1 0,1 1,0 1 1,6,0 0 0,1 1 1,0 0 1,1 0 0 1,1 0,0 1 0,0,0 1,0 0,0,1 1]"
100, 2, 5, combine, 37,0.64,   0.001,"[0 0,4 0,0 0 0 0 0 1,0 1 0 1,1 0,0 1 1 0 1,0 1 0 0,1 1,1 1,1 0 0,5,0 1,1 0 1 0,1 1 0,0 0 1,1 0 0 0,1 1 0,0 1 0,1 0,1 1 0,0,2,0 0 1 1 1,1 0 0,0,3,0 0,1 0 0 1 1 0,6,1 1 0 1 0 0,1 0 1 0 0 0,1,0 0,1,0,0,0]","[1,0 0 1,0 0 0 0 0 1,1 1 0,3,0 1 0 1,0 1 1 0 1,1,0 1 0 0,0 0,0,1 1 0,1 1 0,0 1,1 0,1 0 1 0,0 0,0 0 1 1 1,4 0,1 1 0 1 0 0,0 1 0,0,1 1,5,1 0 0 0,0,1 0 0 1 1 0,2,1 0,1 0 0,1 0 1 0 0 0,0 0,6,0,1 0 0,1 1,0]"
100, 2, 5, combine, 37,0.64,   0.001,"[0 1 1 0 0 0,1 1 0,0 0,0 0 0,1 1 1,0 1 1 0,1 1,0,2,0 1 0,1 1 0 1,0 0,1 1 1 0,1 0 0,1,4 1,0 3,1 1,1 1 1 0,0 0 0 0,0 0,0 1 0 0 1 1 0,0 1 0,0 1,1 0 0,1 1 0,0 1 0 0 1 0,6,1 0 1,0 1,1 0,0,1,5,0 0,1 0 0 0,1]","[0 0,0 1 1 0 0 0,0 0 0 0,1 1 0 1,0 1 0 0 1 0,1 1 1,1 0 0,0 1,0 0 0,1 1,1 1 0,1 1 1 0,0,1 0 0 0,1 0 1,0 0,1 1,0 1 0,1 1 0,1 0 0,0,5,2,4 1,1 1 1 0,0 1 0,1,0 1 0 0 1 1 0,1,0 1 1 0,1,1 0,0 1,0 0,0 0,0 3,6]"
100, 2, 5, combine, 39,0.62,   0.001,"[3 1,1 0,1 1 1,0 0,1 0 1,0 0 1 1 0,1 0 1 0,1 0 0,0 0 0,0 0 0 1 1,0 0 1,0 0 1 0,1 1,0 1,0 0 1 1 0 0,1 1,5 0 1 1,1 1,0,6,1 0 0,0 1,0 0,1 0,0 0 0 1 1 1 1,1 0 1,0 1 0,0,4,1 1,0,2 0,1 1 0,0 0 0 0,1,1,1,1,1]","[1 1 1,1 1,1 0 0,1,0 0 0 1 1,1 1,1 1,1 1,1,1 0 1,2 0,3 1,0 1,0 0 1,0 0 1 1 0,0 0 0,1 0 1 0,0 0 0 0,1 0 0,4,0 1,1 0,0 0 1 1 0 0,0 0 1 0,1 0 1,0 0 0 1 1 1 1,0,1 0,0 1 0,1,0 0,1 1 0,5 0 1 1,6,0,1,0,1,0 0]"
100, 2, 5, combine, 38,0.63,   0.001,"[0 0 1 1,0 0 0 1 0 1 0,3,2,1 1,0 0 0 0 1,4,1 0 1 0,0 0 0 0,0 0,0 1,1 0 1,1 0 0 1 1 0,6,1 1 1 1 1,0 0 1,0 1 0 1,0 0,0 1 1 1,0 0 1 1,0 1 1,1 1,1 1,0 0,1 1,0 1 0 0,1 0 0 0,0 1 0,5,1 1,0 0,1,1,1,1,1 0,0,0]","[1 1,1 1 1 1 1,1,0 0 1 1,1 1,1 0 1 0,3,1,0 0 0 1 0 1 0,1,0 0 1,0 0 1 1,1 1,0 1 0 1,0 0 0 0,1 1,6,0 1 1 1,1 1,1 0 1,0 0,1 0 0 1 1 0,0 0 0 0 1,5,0 0,4,0 0,0 1 1,0,2,0 0,0 1 0 0,0,0 1 0,0 1,1 0 0 0,1 0,1]"
100, 2, 5, combine, 40,0.61,   0.001,"[1 0,0 1,1 0 1,1 0 0,0 1,0 0 0 0,0 4 0,1 0 1 1,0 1,0 0,0 1 1 1,1 1 0,1 0,2 1 0,0 1,5,1 1,1 1 0,0 0 0 0,0 1 1,0 0 0 1 0 0 0 1 0 0,0 0 0 0 0,3,0 0 0 0,6,0 0 1,0 0 1,1 0,0 0 0,0,1,1 0 0,1,1,1,0 0,1,0,0,0]","[1 0 1,0 1,0 1,1 0 0,6,0 0,1 0,0 0 1,1 0 1 1,1,0 1 1 1,0 0,1 1 0,0 1 1,2 1 0,1 0,1 0 0,0 4 0,0,0 1,0 1,0,5,0,1 1 0,1,0 0 1,0 0 0 1 0 0 0 1 0 0,1 0,1 1,0 0 0 0 0,1,3,1,0 0 0 0,0 0 0,1,0 0 0 0,0 0 0 0,0]"
100, 2, 5, combine, 33,0.68,   0.001,"[1 0 0 1,0 1 0,0 1 0,0 0,1 3 0,0 1 1 1 0 0,0 0 0 0,0 1 1,0,6 1 1,0 0 1,0 1 4 0,1 0,0 1 0 2 0,1 1,0 1 0 0 0 0,1 1 1,1 0 0 0 1 1,1 0 5,0 1,1 0 1 0 0,0 0 0 1,0 1,1 1 0 0,1 1 1,0 1 1,1 0 1,1,0 1,0 0,1,1,0]","[1 1 1,1 0 1,1 0 5,1,0 1 1 1 0 0,0 1 0 2 0,0 1 0,1,1 3 0,1 1 1,0 1,0 0 1,0 1 1,0 0 0 0,1 1 0 0,0 0,0 1 0,0 1 0 0 0 0,0 1,1 0 0 0 1 1,6 1 1,1 0 0 1,0 1 4 0,0 0 0 1,1 0 1 0 0,0 0,0,1 1,1 0,0,0 1 1,0 1,1]"
100, 2, 5, combine, 37,0.64,   0.001,"[0 1,1 1,0 1 0,1 0 0 0,1 1,1 0 1 1,0 1 1 0 0,5 0,0 0 0,0 0,1 0 0,0 1 1,1 0,1 1 1,1 0,1 1,0 0 1 0,3 0,1 0 0 1 0,1 0 1,1 0,2,1 1,0 1,0 1 1 1,0 0 1 0 0 0,1 0 6,1 0 0,0 0,1,4,0 0 0,0 1,0 0 0 1 1 1,0,1 1,0]","[0 1 0,4,0 1,0 0 0,1 1,3 0,1 1,5 0,1 0,1 0 0 0,0 0,1 1 1,1 0 0,2,1 0 6,1 1,0 1 1 0 0,1 1,1 1,0 1 1,0 0 0,1 0 0,0 1 1 1,1 0,1 0,0 0,0 0 1 0 0 0,0,0 1,1 0 1,0 0 1 0,1 0 0 1 0,1 0 1 1,0 0 0 1 1 1,1,0,0 1]"
100, 2, 5, combine, 36,0.65,   0.001,"[0 1 0 0 0,1 0 1,1 0 0 0,1 0 0,0 0 0 0,3 0,1 0,2 1 0 0 0 0 0,1 0,0 1,0 0 1,0 0 0 0 1,0 1 0,0 0 0 1,1,6 0,0 0 1,0 1,0 1 0 1,0 4,0 0,1 0 0,5 0 1 0 1,1 1 0 0 0 0,1 1,0 0,1 0 1,1,0 0 0 1,1,0 0,1 1,0,0,1,0]","[0,0 1 0 0 0,0 0 0 0,1 0 1,0 0,0 1,1 0,1 0 0,1 0,1 1,1,1 0 1,0 0 1,1,5 0 1 0 1,0 0 1,1,0 1,1,3 0,0 0 0 1,0 0 0 0 1,2 1 0 0 0 0 0,0,0 4,1 1 0 0 0 0,6 0,1 1,1 0 0,0 1 0,0 0,0 1 0 1,0 0 0 1,1 0 0 0,0 0,0]"
100, 2, 5, combine, 39,0.62,   0.001,"[0 0,1 0,0 1 1 1,0 0 1 0,1 0,4,5,3,0 0,0 0 0 1 1 1 1 1,1 0 1,0 1 1,1 1 1 1 0 1 1,1 1 0 1 1,0 0 1,0 1,6,0 1 1 1,0 1 0 0,1 1,0 1 1,2 0,1 1,0 0,1 0 0 1 1,1 1,0 0 0,1 0 0,1 0 0,1 1 1,0,0 1,1 1,0,0,1,1,0,1]","[1 1 1 1 0 1 1,3,0 1 1 1,1 1,1 1 1,6,1 0 0,0 0 1 0,0 1 1,1 0 0 1 1,0 0 1,1,0 0 0 1 1 1 1 1,0 1 1 1,1 0,1 0 1,1 1,1 1 0 1 1,0 0,0 0,0 0 0,0,0 1 0 0,0 0,4,1,0 1,0,1 0,1 1,5,1 0 0,0,0 1 1,0 1,2 0,0,1 1,1]"
100, 2, 5, combine, 37,0.64,   0.001,"[1 0 1 0,0 0 1 1,2 1 1,0 0,1 0 1 1 1,0 0,0,5 0 1 1,1 1 0,1 1 1 0,1 0 0 0,3,0 0 1 0 1,0 1,0 1 1,0 0,1 0 1 1 0,1 0,1 1 1 1 1,4,0 0,1 1,0 1,0 0,1 1,0 0 0 1 1 1 0 0,1 1,6,1 1 0 1,1 0,1,1,1 0 0 0 0,0,1,0,1]","[1 0 1 0,1 0 1 1 1,4,1 0 0 0 0,0 0 1 0 1,0 0,1 1 1 0,0 0,1 1 0,0,1 0 1 1 0,0 1 1,1 1,2 1 1,5 0 1 1,0 0 0 1 1 1 0 0,1 0 0 0,1 1 1 1 1,0,1 1,1,0 1,1 0,1 1,1,0 1,1,0 0,0 0,1 1 0 1,6,0 0 1 1,0,1 0,0 0,3,1]"
100, 2, 5, combine, 36,0.65,   0.001,"[1 0,1 0 1 0 1,0 0 0,1 1,0 1 1,1 0 1,0 0,6 1 1 1,0 1,0 0 0 1,1 1 1 1,0 0 0 0,0 1 1,1,2,1 1 1 1,1 1 1 1 1,3 0 1 1 1,5,1 0 1 1,0 0 1 0,1 0,0 1,1 1 1,1 1 1 1 1 0 1 1,0 0 0 0 0,1 0 1 0,1,0,0,4 1,1,0,1,0,1]","[5,0,0 1,1 1 1 1,1 0,0 0 0 0,1 0 1,1 1,1 1 1 1,0 1 1,6 1 1 1,1 1 1 1 1,1 0 1 1,1,0 1 1,0 1,1 0 1 0 1,1 0,1 0 1 0,3 0 1 1 1,0,1 1 1,0 0 0 1,0,1 1 1 1 1 0 1 1,0 0 1 0,2,0 0 0,1,0 0,1,1,1,4 1,0 0 0 0 0,0]"
100, 2, 5, combine, 39,0.62,   0.001,"[1 0,1 0 1 1,0 0,1 0 0,1 1,0 1 1,0 3 0,1 1,0 1 0 0 1 1,1 1 1,5,0 1 0 0,0 0,1 1 0 0,0 0,0 1 0,4,0 1 1 1,1 0,1 1 1,1 1 0 0 1,0 0,1 0,0 0,1 0 1,1 0 1 1,0 1 0 0,0 1,1 0 0 0,1 0,1 0 0,1,2,0,0,1 1,0,1 1,6 0]","[1 1 1,4,1 0 0,1 0 1 1,1 1,2,5,1 0 0,0 3 0,0,1 0,1 0,0 1 1 1,0,0 1 0 0 1 1,0 0,1 1,1 1 0 0,0 1 0 0,1,0 1 1,0 1,1 0,1 0 1,0 0,6 0,1 1 1,0 0,0 0,1 1 0 0 1,1 1,1 0 1 1,1 1,1 0 0 0,0 0,0,0 1 0 0,1 0,0 1 0]"
100, 2, 5, combine, 39,0.62,   0.000,"[1 0 0 1,0 1 1 1 1 1 1 1,1 0,0 1,0 1 0 1 0,1 1 1,0 0 0,0 0 0,0 0,1 1,1 1,1 0 1,1 1,3,0 0,1 1,1 1 1 0,2,0 0 1 0,0 0 0 1,0 1,1 0 1 0 1,1 0,1 0 0,1 1,1 1 0,0 1 0 0,1 1 1,0 0 1 1,1,5,4,0,1,6,0,1 1 0 1,1,0]","[1 0 0 1,4,0 1 1 1 1 1 1 1,0 1,1 0 1,0 0 0,0 1 0 1 0,0,1 1 1,1 1,0 0 0,1 1,0 0 0 1,5,0 1,1 0,0 0,1 1 0 1,2,3,1,0 0 1 0,1 1 0,1 0 1 0 1,0 0,1 1 1 0,1 1,1 0 0,0,1 1,1 0,1 1 1,1 1,0,0 1 0 0,6,1,1,0 0 1 1]"
